sy_name,st_mass,st_met,st_metratio,st_lum,st_logg,st_age,st_dens
"Kepler-866",0.75,-0.070,"[Fe/H]",,4.62,4.270,
"Kepler-922",0.95,-0.050,"[Fe/H]",,4.48,4.370,
"Kepler-43",1.21,0.320,"[Fe/H]",,4.26,,1.3882
"Kepler-611",1.09,0.070,"[Fe/H]",,4.49,,0.4493
"Kepler-493",,,,,4.14,,
"Kepler-266",,,,,4.45,,
"Kepler-349",,,,-0.045,,,
"Kepler-390",0.79,-0.120,"[Fe/H]",,4.57,,4.0141
"Kepler-941",,-0.196,"[Fe/H]",,4.46,,
"Kepler-154",,,,,,,
"Kepler-313",,,,,4.35,,
"Kepler-1597",1.20,-0.080,"[Fe/H]",,4.38,,0.6237
"Kepler-763",0.88,0.040,"[Fe/H]",,4.58,,3.2680
"Kepler-1380",0.97,-0.020,"[Fe/H]",,4.52,,0.4882
"Kepler-518",1.17,-0.100,"[Fe/H]",,3.98,,1.3531
"Kepler-508",1.14,0.180,"[Fe/H]",,4.27,,0.2785
"Kepler-1387",0.76,-0.020,"[Fe/H]",,4.52,,3.3433
"Kepler-954",0.73,-0.080,"[Fe/H]",,4.54,,1.8738
"HD 22781",0.85,,,-0.474,4.62,,2.8304
"Kepler-1694",0.68,-0.580,"[Fe/H]",,4.67,,6.2973
"Kepler-181",0.81,0.180,"[Fe/H]",,4.48,,2.1730
"Kepler-256",0.95,0.160,"[Fe/H]",,4.22,,1.3284
"Kepler-190",0.82,0.040,"[Fe/H]",,4.56,,2.4306
"Kepler-1827",0.84,-0.420,"[Fe/H]",,3.92,,0.0772
"Kepler-591",1.04,0.040,"[Fe/H]",,4.50,,1.0031
"Kepler-437",0.74,0.010,"[Fe/H]",,4.63,2.570,
"Kepler-1745",1.06,-0.040,"[Fe/H]",,4.46,,0.9397
"Kepler-1915",1.03,-0.060,"[Fe/H]",,4.41,,1.8417
"Kepler-1538",1.03,0.020,"[Fe/H]",,4.42,4.370,
"Kepler-1972",1.17,-0.280,"[Fe/H]",,3.83,,0.0707
"Kepler-1581",1.07,0.060,"[Fe/H]",,4.29,,0.7271
"Kepler-951",0.79,0.260,"[Fe/H]",,4.51,,3.5455
"Kepler-1813",0.82,-0.220,"[Fe/H]",,4.60,,3.3873
"Kepler-1649",,,,,,,
"Kepler-555",1.07,,,0.264,4.24,,0.6923
"HD 24085",,,,,,,
"Kepler-1409",,,,,,,
"Kepler-270",,,,,,,
"Kepler-1389",,,,,,,
"Kepler-192",0.89,-0.140,"[Fe/H]",,4.57,,1.6048
"HD 203387",,0.050,"[M/H]",,,,
"Kepler-664",0.99,,,-0.111,4.49,,1.6778
"HD 20868",,,,,,,
"Kepler-175",,,,,,,
"WD 1856+534",,,,,,,
"Kepler-921",,,,,,,
"Kepler-1014",,-0.210,"[Fe/H]",,4.60,,
"Kepler-903",,,,,,,
"Kepler-1195",0.68,,,,4.62,,
"Kepler-1789",0.91,,,,4.51,4.500,
"Kepler-326",0.93,0.140,"[Fe/H]",,4.00,,2.5021
"HD 97658",,,,,,,
"Kepler-148",,0.143,"[Fe/H]",,4.55,,
"Kepler-671",,,,,,,
"Kepler-908",1.12,0.180,"[Fe/H]",,4.38,,2.6304
"HD 102272",,-0.372,"[M/H]",,,,
"Kepler-1466",1.00,-0.484,"[M/H]",-0.023,4.42,,1.3430
"Kepler-1693",0.94,,,,4.56,0.800,
"Kepler-63",,,,,4.47,,
"HD 214823",1.31,0.140,"[Fe/H]",0.670,,4.340,
"Kepler-152",,,,,4.65,,
"Kepler-290",0.80,,,,4.65,1.100,
"Kepler-212",1.17,,,,4.37,2.500,
"Kepler-158",0.66,-0.240,"[Fe/H]",,4.61,,2.4609
"Kepler-1385",,,,,,,
"Kepler-923",,,,,,,
"Kepler-772",0.91,,,,4.22,12.500,
"HD 203387",2.82,,,,,,
"Kepler-1321",0.51,0.210,"[Fe/H]",,4.74,,4.2315
"Kepler-354",,,,,,,
"Kepler-906",,,,0.076,,,
"Kepler-728",,,,,4.56,,
"Kepler-1323",,,,,,,
"HD 52265",1.20,0.110,"[Fe/H]",0.308,4.11,3.500,
"Kepler-1667",,,,,,,
"Kepler-67",,,,-0.428,,,
"Kepler-158",,-0.232,"[Fe/H]",,4.60,,
"Kepler-1225",1.08,-0.240,"[Fe/H]",,4.45,,5.6800
"Kepler-1610",0.82,-0.100,"[Fe/H]",,4.55,,2.3426
"Kepler-123",1.01,-0.140,"[Fe/H]",,4.37,,2.3238
"Kepler-218",0.98,0.360,"[Fe/H]",,4.39,,1.6181
"Kepler-123",1.01,-0.140,"[Fe/H]",,4.37,,2.3238
"TOI-2406",0.16,-0.380,"[Fe/H]",0.531,5.04,,26.9000
"HD 88072",1.04,0.043,"[M/H]",0.031,4.43,,1.3340
"Kepler-1047",1.07,0.340,"[Fe/H]",,4.33,,0.8565
"Gl 49",0.54,,,-1.341,4.70,,4.7997
"Kepler-1530",0.92,0.085,"[M/H]",-0.311,4.58,,2.3759
"HD 28254",,,,,,,
"Kepler-1802",,,,,,,
"Kepler-124",,,,,4.72,,
"Kepler-1861",1.06,,,,4.41,2.800,
"KOI-351",1.14,,,,4.43,0.530,
"Kepler-373",,,,0.194,,,
"Kepler-243",0.92,0.210,"[Fe/H]",,4.58,,3.2526
"Kepler-1274",,,,,,,
"HD 134060",,,,,,,
"Kepler-1858",0.84,0.207,"[M/H]",-0.453,4.59,,2.5637
"Kepler-197",,-0.533,"[Fe/H]",,4.07,,
"Kepler-1018",0.96,,,-0.082,4.41,,1.3282
"HD 187085",1.22,0.050,"[Fe/H]",2.130,,3.300,
"Kepler-1796",1.15,,,0.118,4.48,,1.5075
"Kepler-677",,,,,4.42,,
"TOI-1260",,,,,4.58,,
"Kepler-1052",0.99,,,,4.54,0.400,
"Kepler-371",,,,,,,
"HD 11506",1.51,0.340,"[Fe/H]",,4.43,,
"HD 63765",0.65,-0.160,"[Fe/H]",,4.41,,
"HD 179949",1.17,0.200,"[M/H]",0.298,4.32,,0.8598
"Kepler-157",1.02,-0.120,"[Fe/H]",,4.51,,1.3812
"Kepler-876",0.90,0.160,"[Fe/H]",,4.58,,2.2258
"Kepler-768",0.75,,,,4.67,1.000,
"HD 188015",,,,,,,
"AB Pic",,,,-0.226,,,
"Kepler-1406",1.05,0.040,"[Fe/H]",,4.36,5.010,
"KIC 10068024",1.06,-0.220,"[Fe/H]",,4.40,,7.7869
"Kepler-958",0.91,0.060,"[Fe/H]",,4.37,,11.3748
"Kepler-274",1.02,0.160,"[Fe/H]",,4.07,,0.5691
"Kepler-54",0.48,-0.270,"[Fe/H]",,4.79,4.170,
"Kepler-337",0.97,0.020,"[Fe/H]",,4.12,,0.2349
"Kepler-259",,,,-0.156,,,
"Kepler-324",0.85,,,,4.62,0.800,
"Kepler-1554",0.84,-0.100,"[Fe/H]",,4.56,4.680,
"Kepler-713",1.01,-0.020,"[Fe/H]",,4.52,,4.3663
"Kepler-551",0.66,,,-0.895,4.60,,3.0492
"Kepler-1744",,-0.508,"[Fe/H]",,4.53,,
"Kepler-184",,-0.338,"[Fe/H]",,4.52,,
"Kepler-739",1.00,,,0.018,4.38,,1.1386
"Kepler-1999",0.68,,,-0.773,4.56,,2.6304
"Kepler-961",1.00,,,,4.44,,2.8216
"Kepler-55",0.65,-0.200,"[Fe/H]",,4.61,,0.0246
"Kepler-84",,,,,4.32,,
"Kepler-1940",,,,,,,
"Kepler-151",,,,,4.55,,
"Kepler-127",1.24,0.330,"[Fe/H]",,4.26,,1.2237
"rho CrB",0.97,-0.200,"[Fe/H]",0.262,4.18,11.040,
"Kepler-1686",,,,,,,
"Kepler-1014",0.91,,,-0.337,4.58,,2.4170
"Kepler-53",,,,,4.53,,
"HD 8574",,,,,,,
"KOI-351",0.97,-0.400,"[Fe/H]",,4.38,,1.4034
"Kepler-1092",,,,0.038,,,
"Kepler-399",0.71,-0.820,"[Fe/H]",,4.62,,2.5314
"Kepler-1135",0.96,0.020,"[Fe/H]",,4.47,4.470,
"Kepler-399",0.71,-0.820,"[Fe/H]",,4.62,,6.5644
"Kepler-221",0.87,-0.020,"[Fe/H]",,4.55,4.570,
"Kepler-153",0.77,-0.240,"[Fe/H]",,4.45,,5.6129
"Kepler-280",0.93,-0.160,"[Fe/H]",,4.54,,2.1876
"Kepler-228",1.04,,,,4.51,0.300,
"Kepler-1228",0.78,-0.180,"[Fe/H]",,4.59,5.130,
"Kepler-568",,,,,,,
"Kepler-1449",1.24,0.210,"[Fe/H]",,4.41,,0.5098
"Kepler-1958",0.95,-0.120,"[Fe/H]",,4.55,,3.8302
"Kepler-871",1.06,0.070,"[Fe/H]",,4.51,,0.4378
"Kepler-30",0.95,0.120,"[Fe/H]",,4.55,1.580,
"HD 231701",1.20,-0.080,"[Fe/H]",0.405,4.26,4.000,
"Kepler-1199",0.90,-0.400,"[Fe/H]",,4.03,,0.6607
"HD 307842",0.96,,,-0.190,4.52,,1.8796
"Kepler-1553",0.88,-0.100,"[Fe/H]",,4.59,,1.6551
"Kepler-273",0.87,0.140,"[Fe/H]",,4.38,,2.9794
"Kepler-462",1.97,0.070,"[Fe/H]",,3.89,,5.7061
"Kepler-1050",1.06,0.135,"[M/H]",0.059,4.43,,1.3508
"Kepler-960",0.97,0.560,"[Fe/H]",,3.94,,5.9921
"Kepler-1678",0.96,-0.320,"[Fe/H]",,4.54,,1.9700
"Kepler-1532",0.96,-0.160,"[Fe/H]",,4.54,,2.3261
"Kepler-1988",1.50,-0.100,"[Fe/H]",,3.62,,0.0227
"Kepler-185",0.81,-0.060,"[Fe/H]",,4.55,,2.8583
"Kepler-690",1.15,0.320,"[Fe/H]",,4.43,,1.3365
"Kepler-1932",0.98,0.400,"[Fe/H]",,4.49,,7.0226
"Kepler-868",1.00,-0.180,"[Fe/H]",,4.52,,0.0243
"Kepler-1295",0.92,-0.060,"[Fe/H]",,4.56,,4.1898
"Kepler-827",,-0.194,"[Fe/H]",,4.97,,
"Kepler-370",0.97,-0.160,"[Fe/H]",,4.54,,2.7046
"HD 72659",,,,,,,
"16 Cyg",,,,,,,
"Kepler-1790",,0.031,"[Fe/H]",,4.72,,
"GJ 96",,,,,,,
"Kepler-186",0.48,-0.210,"[Fe/H]",,4.79,,5.8481
"TOI-1680",,,,,5.04,,
"HD 192263",0.81,0.054,"[Fe/H]",,4.63,2.090,
"Kepler-1535",1.06,,,0.165,4.33,,0.9436
"Kepler-367",0.76,0.070,"[Fe/H]",,4.61,,3.4988
"Kepler-1371",0.84,,,,4.47,10.500,
"HD 96700",,,,,,,
"GJ 3323",,,,,,,
"Kepler-1069",,,,,4.27,,
"Kepler-1010",0.81,-0.080,"[Fe/H]",,4.47,,1.3894
"Kepler-1304",,,,,,,
"Kepler-1690",0.87,0.000,"[Fe/H]",,4.48,,6.3281
"HD 98649",1.00,0.020,"[Fe/H]",-0.066,4.38,2.300,
"HD 99492",,,,,,,
"Kepler-482",0.68,,,,4.68,6.800,
"Kepler-1133",,,,,4.56,,
"Kepler-1491",1.01,-0.060,"[Fe/H]",,4.52,,0.7465
"HD 134987",1.03,0.250,"[Fe/H]",0.155,4.30,,
"Kepler-621",0.58,-0.030,"[Fe/H]",,4.71,,2.2054
"Kepler-1381",,,,-0.122,,,
"Kepler-414",,,,-0.198,,,
"HD 63765",,,,,,,
"Kepler-30",,,,,4.48,,
"BD+49 828",1.52,-0.190,"[Fe/H]",1.470,2.85,2.340,
"Kepler-1370",,,,,,,
"Kepler-1524",,,,,,,
"Kepler-166",0.88,,,,4.60,0.800,
"Kepler-1826",,,,,,,
"Kepler-566",,,,,4.56,,
"Kepler-296",0.50,-0.080,"[Fe/H]",,4.77,,6.4000
"HD 166724",,,,,,,
"HD 147513",1.07,,,,4.50,0.680,
"HD 141937",,,,,,,
"Kepler-471",,0.159,"[Fe/H]",,4.40,,
"HIP 103768",,,,,,,
"Kepler-1371",,,,,,,
"Kepler-239",,,,,,,
"Kepler-1336",,-0.050,"[Fe/H]",,4.23,,
"HD 60532",1.50,0.120,"[Fe/H]",0.800,3.95,2.250,
"Kepler-395",0.41,-0.500,"[Fe/H]",,4.85,,0.4684
"Kepler-968",0.57,-0.580,"[Fe/H]",,4.68,,3.8222
"Kepler-1549",0.97,0.300,"[Fe/H]",,4.54,,255.3116
"Kepler-785",0.53,-0.060,"[Fe/H]",,4.76,,3.7774
"Kepler-306",,,,,,,
"HD 216437",1.17,0.200,"[Fe/H]",,4.19,4.750,
"Kepler-55",0.72,-0.010,"[Fe/H]",,4.64,2.340,
"Kepler-363",,,,0.348,,,
"Kepler-99",0.77,0.210,"[M/H]",-0.585,4.58,,2.6218
"Kepler-691",,0.263,"[Fe/H]",,4.36,,
"Kepler-1618",1.28,-0.104,"[M/H]",0.690,4.03,,0.3070
"Kepler-755",0.73,-0.200,"[Fe/H]",,4.53,,0.3219
"Kepler-786",0.79,0.120,"[Fe/H]",,4.62,,2.2599
"Kepler-1395",,,,,,,
"Kepler-1347",,-0.253,"[M/H]",,,,
"HD 37605",1.00,0.336,"[Fe/H]",-0.229,4.51,7.000,
"HD 168443",,,,,,,
"HIP 63242",,-0.280,"[M/H]",,,,
"Kepler-1813",0.82,-0.220,"[Fe/H]",,4.60,,3.3419
"Kepler-863",0.99,-0.100,"[Fe/H]",,4.50,,0.7858
"Kepler-859",0.79,-0.240,"[Fe/H]",,4.62,,1.0195
"Kepler-885",1.22,-0.020,"[Fe/H]",,4.28,,0.1493
"Kepler-1012",0.94,0.160,"[Fe/H]",,4.50,,1.8045
"Kepler-572",0.77,-0.380,"[Fe/H]",,4.64,,3.3344
"Kepler-271",0.82,-0.200,"[Fe/H]",,4.45,,1.5193
"Kepler-1444",0.99,-0.080,"[Fe/H]",,4.53,,1.1031
"Kepler-465",1.28,,,0.338,4.39,,1.0375
"Kepler-302",0.97,-0.240,"[Fe/H]",,4.53,,1.1211
"Kepler-781",0.81,-0.320,"[Fe/H]",,4.62,,1.8494
"Kepler-226",0.88,-0.180,"[Fe/H]",,4.57,,2.1363
"Kepler-594",,,,-0.220,,,
"Kepler-1435",1.24,-0.180,"[Fe/H]",,4.27,,0.5497
"Kepler-121",,,,,,,
"HD 8673",,,,,,,
"Kepler-1085",1.05,,,,4.50,0.300,
"Kepler-266",1.06,,,,4.44,,
"Kepler-373",0.95,0.140,"[Fe/H]",,4.33,,4.8967
"Kepler-941",0.92,,,,4.45,,
"Kepler-860",,,,,,,
"Kepler-944",0.95,,,,4.57,0.400,
"HD 2638",,,,,,,
"Kepler-930",,,,,,,
"HD 70642",,,,,,,
"Kepler-237",,,,,,,
"BD+20 2457",,-0.806,"[M/H]",,,,
"HIP 55507",0.65,,,,,,
"HD 188015",1.09,0.289,"[Fe/H]",,4.45,,
"Kepler-161",0.82,,,,,,
"Kepler-403",,,,,,,
"Kepler-275",,,,,4.38,,
"Kepler-1816",0.80,-0.240,"[Fe/H]",,4.62,,6.7458
"Kepler-254",0.97,-0.220,"[Fe/H]",,4.53,,2.5776
"Kepler-326",,,,,3.99,,
"HD 219077",1.06,,,,3.91,8.920,
"HAT-P-16",0.69,,,-0.781,4.58,,2.7756
"Kepler-829",,,,,4.61,,
"Kepler-1019",0.58,,,,4.72,,
"Kepler-103",1.09,0.070,"[Fe/H]",,4.16,,1.5385
"Kepler-364",1.11,0.020,"[Fe/H]",,4.20,,0.0995
"Kepler-77",,,,,,,
"Kepler-51",1.05,,,,,,
"XO-2",,,,,,,
"Kepler-594",0.91,,,,4.59,0.500,
"Kepler-1229",0.54,,,,4.74,14.000,
"Kepler-570",,-0.044,"[Fe/H]",,4.51,,
"Kepler-1639",,,,,,,
"Kepler-1761",0.53,,,,4.75,13.900,
"Kepler-1080",1.23,-0.160,"[Fe/H]",,4.21,,0.1173
"Kepler-668",0.86,-0.300,"[Fe/H]",,4.58,,6.5485
"Kepler-411",0.82,,,,4.59,4.400,
"Kepler-1028",,,,,,,
"Kepler-966",,,,,,,
"Kepler-146",,,,,4.37,,
"Kepler-258",0.82,0.100,"[Fe/H]",,4.59,3.630,
"Kepler-405",0.96,-0.140,"[Fe/H]",,4.54,,1.1126
"Kepler-30",0.99,0.210,"[Fe/H]",,4.56,,2.3953
"Kepler-1407",1.10,0.060,"[Fe/H]",,4.38,,0.7190
"Kepler-145",1.14,-0.001,"[M/H]",0.692,3.89,,0.2015
"Kepler-173",0.79,-0.780,"[Fe/H]",,4.39,,2.5817
"Kepler-190",0.87,0.000,"[Fe/H]",,4.58,,9.6212
"Kepler-1504",0.89,-0.280,"[Fe/H]",,4.53,,0.2809
"Kepler-162",0.88,-0.300,"[Fe/H]",,4.42,,1.6429
"Kepler-1459",0.76,0.200,"[Fe/H]",,4.54,,0.0834
"Kepler-1883",1.09,-0.120,"[Fe/H]",,4.46,,4.0223
"Kepler-307",0.95,0.200,"[Fe/H]",,4.43,,1.6444
"Kepler-1162",0.92,-0.080,"[Fe/H]",,4.56,,3.3469
"Kepler-1555",1.07,-0.160,"[Fe/H]",,4.46,,0.7265
"Kepler-764",0.97,,,,4.54,0.700,
"HD 192263",,,,,,,
"HD 192699",1.61,-0.250,"[Fe/H]",,3.38,,
"14 And",,-0.298,"[M/H]",,,,
"Kepler-402",1.01,-0.120,"[Fe/H]",,4.29,,0.8117
"Kepler-1950",0.76,-0.340,"[Fe/H]",,4.46,,5.1578
"Kepler-398",0.70,-0.040,"[Fe/H]",,4.64,,0.3677
"Kepler-1827",0.84,-0.420,"[Fe/H]",,3.92,,0.0772
"Kepler-998",1.02,-0.120,"[Fe/H]",,4.51,,5.8011
"Kepler-1666",1.08,-0.200,"[Fe/H]",,4.45,,1.0005
"Kepler-1990",1.02,0.160,"[Fe/H]",,4.26,,1.3578
"Kepler-199",0.98,-0.160,"[Fe/H]",,4.32,,1.7009
"Kepler-1386",1.00,0.040,"[Fe/H]",,4.50,,0.8322
"Kepler-777",0.57,-0.140,"[Fe/H]",,4.71,,5.7730
"Kepler-48",0.88,0.170,"[Fe/H]",,4.49,3.140,1.9800
"Kepler-272",0.79,,,,4.48,13.900,
"Kepler-150",0.96,-0.140,"[Fe/H]",,4.48,,1.5643
"Kepler-640",1.07,,,,4.45,2.200,
"Kepler-1717",1.33,,,,4.33,0.330,
"Kepler-862",,,,,4.50,,
"Kepler-59",,,,,4.51,,
"Kepler-883",1.06,-0.130,"[Fe/H]",,4.40,3.020,
"Kepler-1941",1.24,0.070,"[Fe/H]",,4.39,,0.5601
"Kepler-27",0.93,0.210,"[Fe/H]",,4.58,,0.7046
"Kepler-1370",1.25,0.160,"[Fe/H]",,4.32,,0.6079
"Kepler-583",,,,,,,
"Kepler-1938",0.65,-0.220,"[Fe/H]",,4.62,,3.2420
"HD 8574",,,,,,,
"Kepler-567",0.90,0.280,"[Fe/H]",,4.52,,2.4168
"Kepler-668",0.86,-0.300,"[Fe/H]",,4.58,,6.5485
"Kepler-187",1.00,,,,4.32,6.600,
"Kepler-251",,,,,,,
"GJ 504",,,,,,,
"Kepler-744",0.90,0.000,"[Fe/H]",,4.45,,9.6133
"Kepler-1351",,-0.363,"[Fe/H]",,4.30,,
"Kepler-1046",,,,,,,
"Kepler-1124",0.35,-0.590,"[Fe/H]",,4.93,3.390,
"Kepler-1875",,,,,,,
"eps Eri",0.81,-0.044,"[Fe/H]",,4.59,,
"Kepler-998",,,,,,,
"Kepler-839",,,,,,,
"Kepler-1787",,-0.218,"[Fe/H]",,4.72,,
"Kepler-248",0.94,0.480,"[Fe/H]",,4.56,,1.6353
"Kepler-1801",0.94,-0.060,"[Fe/H]",,4.43,,0.6233
"Kepler-84",1.02,,,,4.42,4.000,
"Kepler-1161",0.53,-0.500,"[Fe/H]",,4.73,,3.5702
"CoRoT-3",1.36,,,,,,0.5240
"Kepler-372",,,,,4.44,,
"Kepler-1751",0.97,-0.260,"[Fe/H]",,4.46,,0.7560
"Kepler-1854",,,,,,,
"HD 37605",,0.390,"[Fe/H]",,4.55,,
"Kepler-1470",0.80,,,-0.486,4.54,,2.2088
"Kepler-1650",,,,,,,
"HD 164922",,,,,,,
"Kepler-178",,-0.188,"[Fe/H]",,4.35,,
"HD 114729",0.34,,,-1.702,4.87,,10.5917
"HD 141004",,,,,,,
"Kepler-1325",,,,,,,
"Kepler-59",1.14,,,,4.45,0.260,
"Kepler-1387",,-0.023,"[Fe/H]",,4.33,,
"Kepler-307",0.95,0.200,"[Fe/H]",,4.43,,1.8821
"HD 73256",1.00,,,,,2.200,
"Kepler-1206",,,,,,,
"Kepler-26",0.54,-0.120,"[Fe/H]",,4.71,,4.8535
"Kepler-1778",1.11,,,,4.46,,
"Kepler-52",0.58,,,,4.72,13.800,
"Kepler-415",,,,,,,
"HD 28254",1.10,,,,,6.000,
"Kepler-1584",1.24,0.070,"[Fe/H]",,4.39,,1.9881
"Kepler-906",1.00,-0.140,"[Fe/H]",,4.47,,2.0059
"Kepler-1101",0.94,-0.040,"[Fe/H]",,4.50,4.270,
"Kepler-551",0.51,-0.100,"[Fe/H]",,4.78,,2.7809
"Kepler-1592",0.91,-0.480,"[Fe/H]",,4.56,,0.5607
"Kepler-1036",0.97,0.020,"[Fe/H]",,4.55,,0.1926
"Kepler-1885",0.98,0.070,"[Fe/H]",,4.56,,0.0687
"CoRoT-6",1.05,-0.200,"[Fe/H]",,4.43,,
"Kepler-441",0.64,-0.010,"[Fe/H]",,4.67,3.720,
"Kepler-763",0.88,0.040,"[Fe/H]",,4.58,,3.2680
"Kepler-1567",0.94,-0.200,"[Fe/H]",,4.50,,1.9006
"Kepler-1621",1.15,0.030,"[Fe/H]",,4.31,2.690,
"HD 13908",1.21,0.010,"[M/H]",0.711,3.95,,0.2362
"Kepler-340",2.05,-0.100,"[Fe/H]",,3.75,,0.3900
"Kepler-85",0.94,,,,4.57,0.600,
"Kepler-382",0.79,-0.320,"[Fe/H]",,4.39,,0.3766
"Kepler-985",0.98,0.070,"[Fe/H]",,4.43,,0.0277
"Kepler-285",0.90,-0.060,"[Fe/H]",,4.58,,1.9980
"Kepler-662",,,,,4.78,,
"Kepler-127",,,,,,,
"Kepler-271",0.93,,,,4.43,7.100,
"HD 176986",0.75,,,-0.481,,,
"Kepler-99",,,,,4.61,,
"HD 190360",,,,,,,
"HD 219077",0.92,,,,,,
"Kepler-1132",,-0.349,"[Fe/H]",,4.82,,
"Kepler-597",,,,,,,
"HD 222582",0.97,-0.010,"[Fe/H]",0.095,4.37,,
"HD 114729",0.93,-0.220,"[Fe/H]",,,,
"TOI-4603",1.18,0.287,"[M/H]",0.972,3.65,,0.0861
"Kepler-1961",,,,,,,
"Kepler-1179",0.77,-0.180,"[Fe/H]",,4.48,,21.6335
"Kepler-1412",0.86,-0.580,"[Fe/H]",,4.47,,0.8274
"Kepler-114",,,,,,,
"Kepler-1182",,,,,,,
"Kepler-269",1.02,0.000,"[Fe/H]",,4.52,,1.1346
"GJ 15",,,,,,,
"Kepler-1669",,,,,,,
"Kepler-708",,,,,,,
"Kepler-423",,,,,,,
"Kepler-579",,,,,,,
"Kepler-984",,0.019,"[Fe/H]",,4.17,,
"HN Peg",,,,,,,
"Kepler-844",,,,,,,
"Kepler-563",0.84,0.161,"[M/H]",-0.444,4.57,,2.4342
"Kepler-623",1.01,0.140,"[Fe/H]",,4.51,,3.8261
"HD 2039",,0.360,"[N/H]",,4.56,,
"Kepler-700",,,,,4.56,,
"Kepler-511",,,,,4.43,,
"Kepler-729",,,,0.282,,,
"47 UMa",,,,,,,
"Kepler-96",,,,,4.42,,
"Kepler-523",,,,,,,
"Kepler-1026",,-0.006,"[Fe/H]",,4.44,,
"Kepler-1324",0.78,0.050,"[Fe/H]",,4.61,2.880,
"Kepler-1445",1.01,-0.140,"[Fe/H]",,4.37,,0.6509
"Kepler-542",0.93,0.020,"[Fe/H]",,4.50,4.570,
"Kepler-1243",0.96,0.010,"[Fe/H]",,4.48,4.370,
"Kepler-426",0.96,-0.180,"[Fe/H]",,4.51,,2.2238
"Kepler-192",0.94,0.130,"[Fe/H]",,4.46,6.760,
"Kepler-1465",0.75,-0.060,"[Fe/H]",,4.62,3.720,
"Kepler-611",1.01,0.060,"[Fe/H]",,4.43,4.470,
"Kepler-975",0.95,0.560,"[Fe/H]",,3.97,,2.5540
"Kepler-1204",1.05,-0.040,"[Fe/H]",,4.40,,1.7392
"Kepler-1176",0.86,-0.220,"[Fe/H]",,4.57,,7.0605
"Kepler-58",1.02,-0.120,"[Fe/H]",,4.38,,0.1433
"Kepler-783",0.85,0.000,"[Fe/H]",,4.50,,1.3452
"Kepler-1874",0.67,-0.200,"[Fe/H]",,4.65,,1.0321
"Kepler-237",0.73,-0.080,"[Fe/H]",,4.57,,1.9708
"Kepler-1740",0.94,-0.060,"[Fe/H]",,4.50,,0.1143
"HD 99109",1.00,0.380,"[Fe/H]",-0.290,4.22,1.000,
"Kepler-1168",,-0.174,"[Fe/H]",,4.70,,
"Kepler-1165",,,,0.558,,,
"Kepler-1899",0.76,0.197,"[M/H]",-0.672,4.65,,3.3214
"Kepler-338",1.14,-0.070,"[Fe/H]",,4.01,,0.1282
"HD 6718",0.96,-0.060,"[Fe/H]",0.053,4.48,,
"Kepler-1794",0.77,0.020,"[Fe/H]",,4.50,,2.8747
"TOI-782",0.40,,,-1.743,4.82,,8.3696
"Kepler-1884",0.99,-0.200,"[Fe/H]",,4.52,,0.7662
"Kepler-1106",1.02,-0.320,"[Fe/H]",,4.49,,1.2583
"Kepler-1261",0.88,0.180,"[Fe/H]",,4.56,,7.2648
"Kepler-512",1.17,0.220,"[Fe/H]",,4.28,3.720,
"Kepler-1478",0.93,-0.500,"[Fe/H]",,4.56,,0.7326
"Kepler-355",1.10,-0.060,"[Fe/H]",,4.45,,0.7062
"Kepler-1306",0.93,0.160,"[Fe/H]",,4.44,,14.2845
"Kepler-920",1.00,0.140,"[Fe/H]",,4.53,,1.0798
"Kepler-588",1.01,0.000,"[Fe/H]",,4.44,4.070,
"Kepler-116",1.20,-0.080,"[Fe/H]",,4.38,,0.7161
"Qatar-6",0.80,,,-0.508,4.57,,2.4693
"HD 102843",0.95,0.160,"[M/H]",-0.141,4.46,,1.5568
"Kepler-727",0.82,-0.140,"[Fe/H]",,4.46,,0.5727
"Kepler-125",0.54,-0.020,"[Fe/H]",,4.74,,7.4189
"24 Sex",1.81,-0.010,"[Fe/H]",,3.40,,
"Kepler-814",1.19,0.160,"[Fe/H]",,4.29,,1.4742
"HD 8574",1.12,,,,4.22,5.600,
"Kepler-295",0.80,-0.340,"[Fe/H]",,4.45,,0.0730
"Kepler-1723",0.96,-0.300,"[Fe/H]",,4.41,,0.2923
"Kepler-362",0.81,-0.720,"[Fe/H]",,4.62,,0.5050
"Kepler-378",0.67,,,,4.65,13.900,
"Kepler-142",,,,,,,
"TOI-2196",,,,,4.42,,
"Kepler-251",0.94,-0.160,"[Fe/H]",,4.35,,0.3625
"Kepler-669",,,,,,,
"Kepler-1420",0.93,,,-0.232,4.51,,1.8840
"Kepler-301",,,,,4.53,,
"Kepler-766",,,,,4.54,,
"70 Vir",,,,,,,
"Kepler-258",0.83,0.440,"[Fe/H]",,4.46,,3.0299
"Kepler-537",1.02,0.120,"[Fe/H]",,4.50,,1.8420
"Kepler-255",1.01,0.210,"[Fe/H]",,4.55,,1.2895
"Kepler-106",1.00,-0.120,"[Fe/H]",,4.41,4.830,1.3800
"Kepler-1614",0.90,-0.020,"[Fe/H]",,4.58,,1.3473
"Kepler-158",0.75,-0.030,"[Fe/H]",,4.62,3.980,
"Kepler-1018",1.04,0.070,"[Fe/H]",,4.52,,1.3905
"Kepler-856",0.96,0.120,"[Fe/H]",,4.49,4.270,
"Kepler-1136",,,,,4.71,,
"Kepler-1791",,,,,4.29,,
"Kepler-1907",0.76,,,,4.54,14.000,
