sy_name,st_mass,st_met,st_metratio,st_lum,st_logg,st_age,st_dens
"Kepler-1433",1.07,0.160,"[Fe/H]",,4.34,,2.5854
"HD 14787",,0.000,"[M/H]",,,,
"Kepler-565",0.93,-0.300,"[Fe/H]",,4.56,,1.0444
"Kepler-231",,,,,4.78,,
"Kepler-142",,,,,4.32,,
"Kepler-275",1.20,,,0.449,4.20,,0.5623
"KMT-2019-BLG-0414L",0.74,,,,,,
"HD 23079",1.12,-0.130,"[Fe/H]",,4.43,,
"HD 16175",1.34,0.370,"[Fe/H]",,4.21,2.802,
"KMT-2018-BLG-0885L",0.29,,,,,,
"HIP 74890",,,,,,,
"16 Cyg",,,,,,15.000,
"Kepler-1813",,,,,4.62,,
"TOI-763",0.92,0.010,"[Fe/H]",,4.45,,
"Kepler-371",,,,,,,
"Kepler-405",0.96,-0.140,"[Fe/H]",,4.54,,0.3361
"Kepler-1351",,,,,,,
"Kepler-934",,,,-0.508,,,
"Kepler-82",0.92,,,,4.49,4.900,
"Kepler-381",,,,0.506,,,
"Kepler-216",,,,,,,
"Kepler-1807",1.27,-0.234,"[M/H]",0.603,4.11,,0.4011
"Kepler-107",,,,,,,
"Kepler-1666",1.08,-0.200,"[Fe/H]",,4.45,,0.7005
"Kepler-1987",,,,,,,
"Kepler-998",,-0.112,"[Fe/H]",,4.54,,
"Kepler-579",0.97,,,-0.311,4.66,,3.0457
"CoRoT-16",0.79,,,-0.112,4.15,,0.5911
"Kepler-520",,,,,,,
"Kepler-1258",1.03,-0.388,"[M/H]",0.094,4.35,,1.0382
"tau Boo",1.40,0.272,"[Fe/H]",,4.26,,
"Kepler-654",,,,,4.10,,
"GJ 86",,,,,,3.560,
"Kepler-783",,,,,,,
"Kepler-497",1.00,0.220,"[Fe/H]",,4.37,,1.4358
"Kepler-656",,,,,4.54,,
"Kepler-1076",0.53,,,,4.77,,
"HD 12661",1.00,0.300,"[M/H]",0.133,4.27,,0.7884
"Kepler-1160",,-0.276,"[Fe/H]",,4.82,,
"Kepler-1430",,,,-0.816,,,
"Kepler-197",0.92,,,,,,
"Kepler-1200",,,,,,,
"Kepler-1399",,,,0.002,,,
"Kepler-836",,,,,4.48,,
"Kepler-454",1.07,0.350,"[Fe/H]",,4.40,,18.9092
"Kepler-887",1.16,0.100,"[Fe/H]",,4.27,,0.8201
"TOI-2158",,,,,4.06,,
"Kepler-1470",0.78,0.160,"[Fe/H]",,4.51,,1.9121
"HD 21693",,,,,,,
"MOA-2013-BLG-605L",0.20,,,,,,
"Kepler-1027",0.95,-0.200,"[Fe/H]",,3.95,,3.8612
"Kepler-319",,,,,,,
"Kepler-907",,,,,,,
"Kepler-1664",,,,,,,
"Kepler-1667",1.09,-0.100,"[Fe/H]",,4.18,,0.6905
"Kepler-879",,-0.046,"[Fe/H]",,4.41,,
"Kepler-1249",0.99,,,,4.54,,
"Kepler-1559",,,,,,,
"HN Lib",,,,,,,
"Kepler-80",0.72,,,,4.67,3.100,
"Kepler-1284",0.78,,,,4.63,4.200,
"MOA-2019-BLG-008L",0.70,,,,,,
"Kepler-32",,,,,,,
"Kepler-249",0.44,0.020,"[Fe/H]",,4.83,,3.2175
"Kepler-666",1.05,-0.120,"[Fe/H]",,4.49,,0.7204
"KMT-2019-BLG-0842L",0.76,,,,,,
"Kepler-374",,,,,,,
"Kepler-1897",0.78,,,,4.62,4.200,
"Kepler-214",1.15,,,,4.44,0.230,
"Kepler-551",,-0.371,"[Fe/H]",,4.58,,
"Kepler-672",,,,,,,
"Kepler-140",1.15,0.070,"[Fe/H]",,4.44,,1.2926
"Kepler-376",,,,,,,
"Kepler-1946",,-0.041,"[Fe/H]",,4.51,,
"Kepler-1021",0.88,,,,4.60,0.500,
"Kepler-1590",,,,,,,
"Kepler-25",1.19,-0.040,"[Fe/H]",,4.28,,1.2522
"HD 156846",,,,,,,
"Kepler-392",,,,,,,
"Kepler-405",,-0.131,"[Fe/H]",,4.61,,
"Kepler-244",0.88,-0.200,"[Fe/H]",,4.57,,1.5267
"Kepler-1569",1.11,0.020,"[Fe/H]",,4.24,,0.1260
"Kepler-1362",0.69,,,,4.63,13.900,
"HD 45364",,,,,,,
"Kepler-214",,,,,,,
"Kepler-1798",0.56,,,,4.73,,
"Kepler-930",,,,0.249,,,
"Kepler-987",0.97,0.010,"[Fe/H]",,4.51,2.450,
"OGLE-2018-BLG-1700L",0.42,,,,,,
"HD 196885",,,,,,,
"Kepler-1521",1.03,0.120,"[Fe/H]",,3.87,,13.1156
"Kepler-1477",,,,,,,
"Kepler-1197",,,,,,,
"Kepler-870",1.06,-0.160,"[Fe/H]",,4.47,,0.8578
"Kepler-1733",1.08,-0.260,"[Fe/H]",,4.44,,6.8409
"HD 89744",,,,,,,
"Kepler-149",,0.147,"[Fe/H]",,4.18,,
"HD 190360",,,,,,,
"Kepler-373",0.87,,,,4.57,,
"Kepler-201",,,,,,,
"Kepler-612",,,,0.287,,,
"16 Cyg",,,,,,,
"Kepler-214",1.04,-0.360,"[Fe/H]",,4.47,,0.0407
"Kepler-1504",,-0.281,"[Fe/H]",,4.54,,
"Kepler-586",0.90,0.352,"[M/H]",-0.141,4.37,,1.1844
"Kepler-775",0.93,,,,4.52,3.900,
"Kepler-505",0.53,0.020,"[Fe/H]",,4.75,,3.8455
"Kepler-643",1.15,,,,,,
"Kepler-977",,,,,4.50,,
"Kepler-1717",,,,,,,
"Kepler-947",,,,,4.57,,
"Kepler-969",0.79,,,,4.49,13.800,
"Kepler-1075",,,,,,,
"Kepler-1761",,,,,4.74,,
"Kepler-656",0.86,,,,4.59,2.500,
"Kepler-1977",,-0.050,"[Fe/H]",,4.72,,
"Kepler-80",,,,,,,
"HD 117207",,,,,,,
"Kepler-1061",,,,,,,
"HD 190228",,-0.220,"[M/H]",,,,
"Kepler-1349",,,,0.329,,,
"Kepler-1429",1.09,-0.100,"[Fe/H]",,4.45,,2.1987
"Kepler-1423",,,,,,,
"Kepler-1889",,,,,,,
"Kepler-1729",0.69,,,-0.663,4.47,,1.9231
"HD 195019",1.05,0.050,"[Fe/H]",,4.07,,
"GJ 463",,,,,,,
"70 Vir",,,,,,,
"rho CrB",,,,,,,
"Wolf 1061",0.30,,,-1.951,4.90,,12.7478
"NN Ser",,,,,,,
"Kepler-279",,,,,4.45,,
"TOI-1181",,,,,3.93,,
"TOI-954",1.20,0.215,"[Fe/H]",0.535,3.96,6.140,0.2490
"Kepler-226",0.91,,,,4.58,0.500,
"Kepler-1802",0.60,,,,4.70,13.900,
"Kepler-337",,,,,,,
"Kepler-1623",,,,,,,
"Kepler-75",,,,,,,
"Kepler-718",1.05,0.140,"[Fe/H]",,4.39,,2.0853
"HD 19994",,,,,,,
"Kepler-372",1.15,,,0.321,4.27,,0.7483
"Kepler-1142",,,,,,,
"Kepler-823",,,,,4.36,,
"HD 129445",0.99,0.250,"[Fe/H]",,,,
"Kepler-419",,,,,4.27,,
"Kepler-941",,,,,,,
"HD 187085",,,,,,,
"Kepler-1133",,,,,,,
"Kepler-313",0.96,-0.120,"[Fe/H]",,4.36,,0.5198
"HD 207496",,,,,,,
"Kepler-150",,,,,,,
"GJ 687",,,,,,,
"Kepler-401",1.08,-0.040,"[Fe/H]",,4.25,,0.0819
"Kepler-1114",,,,,,,
"Kepler-788",,,,,,,
"Kepler-1537",,0.220,"[Fe/H]",,4.19,,
"Kepler-181",,,,,4.63,,
"Kepler-434",,,,,,,
"HIP 13642 A",,,,,,,
"Kepler-122",1.03,-0.200,"[Fe/H]",,4.50,,0.7257
"Kepler-1322",,,,,,,
"HD 190360",,,,,,,
"Kepler-1458",,,,,,,
"Kepler-244",,,,,,,
"Kepler-349",,,,,4.54,,
"HD 47186",,,,,,,
"HD 224538",1.34,0.270,"[Fe/H]",0.470,4.19,2.000,
"HD 141937",,,,,,,
"Kepler-476",,0.063,"[Fe/H]",,4.45,,
"Kepler-1398",1.12,,,,4.44,0.630,
"Kepler-1881",0.87,,,,4.60,,
"Kepler-1742",,,,,,,
"Kepler-379",1.09,-0.060,"[Fe/H]",,4.36,,1.2299
"PH1",1.53,0.210,"[Fe/H]",,4.14,2.000,0.2930
"Kepler-1776",,-0.302,"[Fe/H]",,4.48,,
"Kepler-712",,,,,,,
"Kepler-1664",,,,,4.32,,
"Kepler-1781",,0.428,"[Fe/H]",,4.61,,
"Kepler-196",0.78,,,,4.50,14.000,
"Kepler-1594",,-0.152,"[Fe/H]",,4.51,,
"HD 18742",,,,,,,
"Kepler-1212",,,,,,,
"HD 180314",2.20,0.140,"[Fe/H]",,2.96,,
"Kepler-1350",0.53,,,-1.283,4.71,,4.9823
"Kepler-182",1.16,0.080,"[Fe/H]",,4.32,3.090,
