pl_name,discoverymethod,disc_year,disc_telescope,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_bmasse,pl_bmassj,pl_dens,pl_eqt
"Kepler-67 b","Transit",2013,"0.95 m Kepler Telescope",15.72590000,0.117100,2.940,0.262,8.96000,0.02820,1.940000,6.02000000000e+02
"Kepler-728 b","Transit",2016,"0.95 m Kepler Telescope",5.74347727,0.062500,3.340,0.298,11.10000,0.03500,1.640000,9.82000000000e+02
"Kepler-201 b","Transit",2014,"0.95 m Kepler Telescope",25.67208300,0.175000,2.460,0.219,6.62000,0.02080,2.440000,6.83000000000e+02
"Kepler-1534 b","Transit",2016,"0.95 m Kepler Telescope",5.71668872,0.059900,1.890,0.169,4.23000,0.01330,3.440000,9.55000000000e+02
"Kepler-1540 b","Transit",2016,"0.95 m Kepler Telescope",125.41311770,0.442600,2.490,0.222,6.76000,0.02130,2.410000,2.66000000000e+02
"Kepler-1542 b","Transit",2016,"0.95 m Kepler Telescope",3.95116882,0.047900,0.760,0.068,0.36300,0.00114,4.540000,1.16000000000e+03
"Kepler-1542 e","Transit",2016,"0.95 m Kepler Telescope",5.10115756,0.056700,0.760,0.068,0.36300,0.00114,4.540000,1.06500000000e+03
"Kepler-1543 b","Transit",2016,"0.95 m Kepler Telescope",6.96710269,0.086700,2.710,0.242,7.80000,0.02450,2.150000,1.77400000000e+03
"Kepler-1553 b","Transit",2016,"0.95 m Kepler Telescope",4.24261881,0.048100,1.150,0.103,1.60000,0.00505,5.780000,9.26000000000e+02
"Kepler-1585 b","Transit",2016,"0.95 m Kepler Telescope",3.58274630,0.044500,1.790,0.160,3.86000,0.01210,3.700000,1.06400000000e+03
"Kepler-1586 b","Transit",2016,"0.95 m Kepler Telescope",15.60492120,0.126600,1.520,0.136,2.92000,0.00920,4.570000,1.01300000000e+03
"Kepler-732 b","Transit",2016,"0.95 m Kepler Telescope",9.46781405,0.069100,2.180,0.194,5.39000,0.01700,2.860000,4.07000000000e+02
"Kepler-203 b","Transit",2014,"0.95 m Kepler Telescope",3.16269700,0.043000,2.570,0.229,7.13000,0.02240,2.310000,1.30800000000e+03
"Kepler-207 c","Transit",2014,"0.95 m Kepler Telescope",3.07157100,0.044000,1.500,0.134,2.86000,0.00899,4.660000,1.55600000000e+03
"Kepler-1570 b","Transit",2016,"0.95 m Kepler Telescope",26.54895500,0.178400,1.070,0.095,1.24000,0.00390,5.560000,8.36000000000e+02
"Kepler-1575 b","Transit",2016,"0.95 m Kepler Telescope",2.55314213,0.036600,1.310,0.117,2.27000,0.00714,5.550000,1.31200000000e+03
"Kepler-1522 b","Transit",2016,"0.95 m Kepler Telescope",1.84788917,0.028800,1.730,0.154,3.64000,0.01150,3.860000,1.37400000000e+03
"Kepler-1525 b","Transit",2016,"0.95 m Kepler Telescope",2.41660118,0.036000,0.910,0.081,0.69300,0.00218,5.050000,1.34300000000e+03
"Kepler-1546 b","Transit",2016,"0.95 m Kepler Telescope",19.59749710,0.136600,3.130,0.279,9.96000,0.03130,1.780000,6.71000000000e+02
"Kepler-1547 b","Transit",2016,"0.95 m Kepler Telescope",0.69297968,0.016500,0.900,0.080,0.66600,0.00210,5.020000,3.18600000000e+03
"Kepler-1555 b","Transit",2016,"0.95 m Kepler Telescope",8.10501635,0.080500,1.610,0.144,3.22000,0.01010,4.240000,9.59000000000e+02
"Kepler-221 c","Transit",2014,"0.95 m Kepler Telescope",5.69058600,0.059000,2.930,0.261,15.10000,0.04800,3.300000,8.60000000000e+02
"Kepler-605 b","Transit",2016,"0.95 m Kepler Telescope",3.38353807,0.042000,1.440,0.128,2.67000,0.00839,4.910000,1.13300000000e+03
"Kepler-160 c","Transit",2014,"0.95 m Kepler Telescope",13.69942900,0.119200,3.760,0.335,13.60000,0.04280,1.410000,7.71000000000e+02
"Kepler-1601 b","Transit",2016,"0.95 m Kepler Telescope",2.20921951,0.033600,0.820,0.073,0.47700,0.00150,4.750000,1.50700000000e+03
"Kepler-1603 b","Transit",2016,"0.95 m Kepler Telescope",2.27163926,0.035100,1.290,0.115,2.21000,0.00696,5.660000,1.52200000000e+03
"Kepler-249 d","Transit",2014,"0.95 m Kepler Telescope",15.36845900,0.097000,1.570,0.140,3.09000,0.00972,4.390000,3.32000000000e+02
"Kepler-1443 b","Transit",2016,"0.95 m Kepler Telescope",2.41811321,0.036800,0.970,0.087,0.87100,0.00274,5.240000,1.60200000000e+03
"Kepler-1447 b","Transit",2016,"0.95 m Kepler Telescope",56.67472850,0.283600,2.900,0.259,8.75000,0.02750,1.970000,5.22000000000e+02
"Kepler-127 c","Transit",2014,"0.95 m Kepler Telescope",29.39319500,0.200000,2.660,0.237,7.56000,0.02380,2.210000,6.98000000000e+02
